,LocationID,Borough,Zone,service_zone,geometry
20,21,Brooklyn,Bensonhurst East,Boro Zone,
21,22,Brooklyn,Bensonhurst West,Boro Zone,
22,23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,"POLYGON ((-74.17899 40.6115891, -74.17698999999999 40.6115891, -74.17698999999999 40.6135891, -74.17899 40.6135891, -74.17899 40.6115891))"
23,24,Manhattan,Bloomingdale,Yellow Zone,"POLYGON ((-73.96877160000001 40.7987764, -73.9667716 40.7987764, -73.9667716 40.8007764, -73.96877160000001 40.8007764, -73.96877160000001 40.7987764))"
24,25,Brooklyn,Boerum Hill,Boro Zone,"POLYGON ((-73.992432 40.6867089, -73.9824456 40.6828196, -73.9828795 40.6821907, -73.9805389 40.6812808, -73.978157 40.6848975, -73.9792219 40.6863548, -73.989638 40.6903061, -73.992432 40.6867089))"
25,26,Brooklyn,Borough Park,Boro Zone,"POLYGON ((-73.9978059 40.632993, -73.9958059 40.632993, -73.9958059 40.634992999999994, -73.9978059 40.634992999999994, -73.9978059 40.632993))"
26,27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,"POLYGON ((-73.9311732 40.5569933, -73.9311351 40.5569219, -73.9304677 40.555667, -73.9304302 40.5555964, -73.9298401 40.554477, -73.9297002 40.5542123, -73.929654 40.554125, -73.9290901 40.5530214, -73.9290251 40.5530909, -73.9283446 40.5533087, -73.9282832 40.5531969, -73.927229 40.5534824, -73.922771 40.554935, -73.9228076 40.5550031, -73.9225731 40.5550706, -73.9224862 40.5551588, -73.9226262 40.555453, -73.9226806 40.5555673, -73.9227208 40.5556518, -73.9228508 40.5559249, -73.9229606 40.5561555, -73.9229849 40.5562066, -73.9223961 40.5563838, -73.9136522 40.5564945, -73.913667 40.5568888, -73.9158986 40.5573424, -73.919371 40.5582969, -73.9234542 40.5590175, -73.9235633 40.5590336, -73.9238489 40.5590796, -73.924169 40.5591311, -73.9245101 40.5591881, -73.9248658 40.559248, -73.9249554 40.559262, -73.9251516 40.5592949, -73.9252508 40.5593078, -73.9252773 40.5593184, -73.925293 40.5593302, -73.9253065 40.5593452, -73.925312 40.5593556, -73.9255103 40.5592501, -73.9259401 40.558997, -73.9265292 40.5586447, -73.9268623 40.5584471, -73.9270108 40.5583678, -73.9271649 40.5582892, -73.9274102 40.5581779, -73.9276157 40.5580999, -73.9278673 40.558011, -73.928305 40.5578742, -73.9286713 40.5577624, -73.9290878 40.5576353, -73.9295234 40.5575005, -73.9297334 40.5574378, -73.9302283 40.5572861, -73.9304032 40.5572329, -73.9310618 40.5570331, -73.9311732 40.5569933))"
27,28,Queens,Briarwood/Jamaica Hills,Boro Zone,"POLYGON ((-73.8211394 40.7082563, -73.8191394 40.7082563, -73.8191394 40.7102563, -73.8211394 40.7102563, -73.8211394 40.7082563))"
28,29,Brooklyn,Brighton Beach,Boro Zone,"POLYGON ((-73.969057 40.5745489, -73.9686986 40.5746263, -73.9683007 40.5747155, -73.9678459 40.5748174, -73.9675877 40.5748752, -73.966822 40.5748245, -73.9665909 40.574818, -73.9646391 40.5748307, -73.9629554 40.5749819, -73.9610717 40.5750818, -73.9609741 40.5750869, -73.9589855 40.5752098, -73.9580372 40.5752509, -73.956674 40.5753099, -73.9551501 40.5753759, -73.9551673 40.575681, -73.9543084 40.5757445, -73.9536516 40.5757998, -73.9539488 40.5773236, -73.954206 40.578426, -73.9543255 40.5790932, -73.9543336 40.5791337, -73.9543473 40.5792085, -73.9543597 40.5792712, -73.9543722 40.5793198, -73.954438 40.5796, -73.9545561 40.5800873, -73.954713 40.580622, -73.9550511 40.5816241, -73.9550774 40.5817497, -73.9550476 40.581825, -73.955012 40.5818631, -73.9549487 40.581931, -73.9548759 40.5820171, -73.9558383 40.5824651, -73.9559131 40.5825325, -73.9559583 40.5826147, -73.9560172 40.5827486, -73.9561556 40.582723, -73.9565343 40.5826529, -73.956641 40.5827442, -73.9567824 40.5828599, -73.9569481 40.5829918, -73.9573108 40.5830983, -73.9573896 40.5831555, -73.9574519 40.5834525, -73.957513 40.5837638, -73.9576375 40.5844567, -73.9577004 40.5847499, -73.9586375 40.5846554, -73.9591312 40.5846056, -73.9592494 40.5845997, -73.9594857 40.5846014, -73.960089 40.5845415, -73.9603597 40.5844976, -73.9613171 40.5843423, -73.9615671 40.5843017, -73.9621769 40.5841959, -73.9624314 40.5841599, -73.9633091 40.5840531, -73.9640243 40.5839647, -73.96419 40.5839442, -73.9642968 40.583931, -73.9649495 40.58385, -73.9667943 40.5837796, -73.9668919 40.5833601, -73.9669112 40.5832861, -73.9670953 40.582585, -73.9672403 40.5819394, -73.9672921 40.5817086, -73.9673122 40.5816193, -73.9673319 40.5815316, -73.967354 40.5814369, -73.9674208 40.581152, -73.9674708 40.5809386, -73.9675718 40.5805019, -73.9676047 40.5803596, -73.9676345 40.5802339, -73.9677402 40.5797823, -73.9677619 40.5796873, -73.9679231 40.5789817, -73.9680256 40.5785328, -73.9680416 40.5784629, -73.968056 40.5784003, -73.9681519 40.577984, -73.9684056 40.576884, -73.9685054 40.5764546, -73.9685229 40.5763792, -73.9685494 40.576265, -73.9685644 40.5761971, -73.9686382 40.5758725, -73.969057 40.5745489))"
29,30,Queens,Broad Channel,Boro Zone,"POLYGON ((-73.8168007 40.607018700000005, -73.81480069999999 40.607018700000005, -73.81480069999999 40.6090187, -73.8168007 40.6090187, -73.8168007 40.607018700000005))"
